Dia,Accion,N Titulos,Precio,Comision,Total,Symbol
2024-11-01,FIBRAMQ 12,2,32.91,0.16,65.82,MX
2024-11-01,FCFE 18,6,25.24,0.37,151.44,MX
2024-11-01,DANHOS 13,37,21.26,1.96,786.62,MX
2024-10-25,FNOVA 17,6,23.84,0.35,143.04,MX
2024-10-25,FCFE 18,6,25.16,0.37,150.96,MX
2024-10-25,DANHOS 13,39,20.64,2.01,804.96,MX
2024-10-18,FNOVA 17,6,24.37,0.36,146.22,MX
2024-10-18,FMTY 14,9,10.53,0.23,94.77,MX
2024-10-18,FCFE 18,6,25.38,0.38,152.28,MX
2024-10-18,DANHOS 13,89,20.22,4.49,1799.58,MX
2024-10-11,FNOVA 17,6,23.85,0.35,143.1,MX
2024-10-11,FNOVA 17,6,23.85,0.35,143.1,MX
2024-10-11,FCFE 18,6,25.15,0.37,150.9,MX
2024-10-11,FCFE 18,6,25.15,0.37,150.9,MX
2024-10-11,DANHOS 13,38,21.24,2.01,807.12,MX
2024-10-11,DANHOS 13,38,21.24,2.01,807.12,MX
2024-10-04,FNOVA 17,6,23.99,0.35,143.94,MX
2024-10-04,FNOVA 17,6,23.99,0.35,143.94,MX
2024-10-04,FMTY 14,12,10.79,0.32,129.48,MX
2024-10-04,FMTY 14,12,10.79,0.32,129.48,MX
2024-10-04,FCFE 18,6,24.9,0.37,149.4,MX
2024-10-04,FCFE 18,6,24.9,0.37,149.4,MX
2024-10-04,DANHOS 13,38,20.75,1.97,788.5,MX
2024-10-04,DANHOS 13,38,20.75,1.97,788.5,MX
2024-09-27,FNOVA 17,6,24.3,0.36,145.8,MX
2024-09-27,FMTY 14,57,10.33,1.47,588.81,MX
2024-09-27,FIBRAMQ 12,18,32.72,1.47,588.96,MX
2024-09-27,FCFE 18,6,25.11,0.37,150.66,MX
2024-09-27,DANHOS 13,38,21.14,2,803.32,MX
2024-09-20,FNOVA 17,6,23.93,0.35,143.58,MX
2024-09-20,FMTY 14,9,10.73,0.24,96.57,MX
2024-09-20,FCFE 18,6,25.99,0.38,155.94,MX
2024-09-20,DANHOS 13,39,20.3,1.97,791.7,MX
2024-09-10,FNOVA 17,6,24.76,0.37,148.56,MX
2024-09-10,FCFE 18,6,25.19,0.37,151.14,MX
